Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5634.54,5800.5301,5621.6044,4800.2037,3363.3748,439.8381,-518.5929,-731.2898,-1274.1951,-941.6756,-2252.1765,2913.5051,1134.9866,487.1195,903.0522,-238.5953,-2329.5275,-2252.8679,-2196.4069
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32425.1167,35383.2521,38278.9936,38658.707,38135.0375,27311.5044,18117.7601,16579.2299,14904.7103,12774.2456,10277.7656,8074.8788,8589.0031,9060.7772,9605.1067,10021.6247,9674.4748,8767.703,7454.5715
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.488,28.5083,23.1474,18.593,17.4579,11.3484,9.0688,9.4948,9.8603,10.0152,10.0125,9.5536,10.1622,10.6973,11.263,11.8147,11.9393,11.7136,11.2582
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.1842,46.5175,47.6209,49.871,55.0572,68.1539,133.3341,173.8373,195.3323,210.4861,226.3063,256.7698,274.3575,285.9681,296.6416,307.1623,318.9919,331.0332,343.2351
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Temperature|Global Mean,°C,,0.9162,0.9758,0,1.2408,0,1.5045,0,1.7441,0,1.7987,0,1.8332,0,1.8779,0,1.9403,0,2.0079,0,2.0591
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38102.443,41724.8683,44557.478,44251.8973,41746.2485,16329.2816,8994.476,2853.294,87.1537,-3433.2104,-4686.0844,-4963.4266,-6589.1981,-5979.0873,-6495.7647,-6556.196,-7435.7386,-5373.7012,-5746.4393
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5551.7882,6045.8076,5810.1807,5276.296,3439.3513,859.3812,120.7244,-953.0798,-1223.7435,-2716.1725,-3080.0499,-3264.0748,-4229.1044,-3115.6938,-3671.9422,-3592.9921,-3927.8517,-3588.2913,-3739.518
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32460.9388,35603.5179,38677.5661,38911.9878,38246.6419,15452.5381,8858.4607,3792.8366,1297.5809,-730.13,-1619.5056,-1713.4837,-2374.1685,-2877.3142,-2838.1601,-2977.7128,-3522.1011,-1802.1307,-2023.771
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.489,28.0575,22.729,18.5985,17.4605,7.4948,6.5213,5.7102,5.5663,5.4305,5.547,5.7828,5.7273,5.6352,5.775,5.8173,5.6761,6.6504,6.6782
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.2075,46.5402,47.6126,49.8516,55.1618,107.5112,189.9045,262.9145,291.6784,311.2792,316.1125,327.6919,342.1852,350.0602,354.3748,358.6363,365.23,367.1187,372.3861
